CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,performance,2.0,181.8,2.8,3.9,11.4,-,-,-,-,-,179.1,184.6,2024-05-27T19:29:15Z,2024-07-09T19:04:20Z
AMD EPYC 9654 96-Core Processor,0.0,0-191,2.0,96.0,1.0,192.0,2.0,1024K,32768K,performance,2.0,3899.1,78.2,110.5,20.3,-,-,-,-,-,3820.9,3977.2,2025-06-21T16:57:51Z,2025-06-23T08:12:54Z
AMD EPYC 7742 64-Core Processor,0.0,"0,3-9,30-99",2.0,39.0,1.0,256.0,8.0,512K,16384K,performance,2.0,2822.4,74.6,105.5,11.0,-,-,-,-,-,2747.8,2897.1,2025-05-12T05:45:48Z,2025-06-03T10:32:29Z
Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,0.0,0-63,2.0,32.0,1.0,64.0,2.0,1280K,49152K,powersave,2.0,1349.1,10.2,14.4,21.1,-,-,-,-,-,1338.9,1359.2,2024-02-21T10:09:43Z,2024-02-21T10:24:31Z
Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,0.0,0-51,2.0,26.0,1.0,52.0,2.0,65 MiB (52 instances),78 MiB (2 instances),,2.0,1111.6,60.5,85.5,21.4,-,-,-,-,-,1051.1,1172.1,2025-05-19T06:15:10Z,2025-07-23T10:43:01Z
Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),,2.0,1280.4,71.4,101.0,13.3,-,-,-,-,-,1209.0,1351.8,2025-09-19T20:33:23Z,2025-10-13T03:19:40Z
Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,6 MiB (24 instances),60 MiB (2 instances),powersave,2.0,358.8,94.6,133.8,7.5,-,-,-,-,-,264.2,453.4,2025-07-01T11:48:20Z,2025-08-12T13:28:47Z
Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,2.0,195.1,1.5,2.1,12.2,-,-,-,-,-,193.6,196.6,2024-12-31T01:14:58Z,2025-05-18T02:21:59Z
Intel(R) Xeon(R) Gold 6238 CPU @ 2.10GHz,0.0,0-43,2.0,22.0,1.0,44.0,4.0,1024K,30976K,powersave,2.0,753.1,36.3,51.4,17.1,-,-,-,-,-,716.8,789.4,2023-11-26T03:54:23Z,2023-11-27T14:27:38Z
AMD Opteron(tm) Processor 6376,0.0,0-31,2.0,16.0,1.0,32.0,4.0,32 MiB (16 instances),24 MiB (4 instances),performance,2.0,232.7,18.2,25.7,7.3,-,-,-,-,-,214.5,250.8,2025-09-29T23:52:57Z,2025-09-30T05:44:15Z
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,256K,25600K,performance,2.0,546.0,63.8,90.3,13.6,-,-,-,-,-,482.1,609.8,2024-08-10T04:10:16Z,2024-10-05T19:47:54Z
AMD EPYC 7262 8-Core Processor,1.0,0-31,2.0,8.0,2.0,32.0,2.0,8 MiB (16 instances),256 MiB (16 instances),performance,2.0,728.6,33.2,46.9,22.8,-,-,-,-,-,695.4,761.8,2025-06-19T05:53:21Z,2025-08-23T03:55:51Z
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,performance,2.0,314.9,6.6,9.4,15.7,-,-,-,-,-,308.3,321.5,2023-12-30T04:56:41Z,2024-11-17T22:15:38Z
Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,48 MiB (48 instances),71.5 MiB (2 instances),not_available,2.0,1094.9,111.6,157.9,11.4,-,-,-,-,-,983.2,1206.5,2024-06-26T20:31:02Z,2024-12-29T00:11:58Z
Intel(R) Xeon(R) Platinum 8480CL,0.0,0-111,2.0,56.0,1.0,112.0,4.0,224 MiB (112 instances),210 MiB (2 instances),performance,2.0,2695.2,91.7,129.7,24.1,-,-,-,-,-,2603.5,2786.9,2024-08-22T12:06:51Z,2024-08-25T07:26:49Z
AMD EPYC 7443 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,24 MiB (48 instances),256 MiB (8 instances),not_available,2.0,1324.2,62.5,88.4,27.6,-,-,-,-,-,1261.7,1386.7,2023-08-09T05:55:15Z,2023-08-11T06:30:04Z
