CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,0.0,0-39,2.0,20.0,1.0,40.0,2.0,1024K,28160K,performance,18.0,700.3,23.0,97.7,17.5,-,-,-,-,-,372.6,772.4,2024-12-17T04:05:48Z,2025-10-07T07:53:18Z
AMD EPYC 7313 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,8.0,16 MiB (32 instances),256 MiB (8 instances),,18.0,1463.3,45.9,194.7,22.9,-,-,-,-,-,979.2,1782.5,2025-04-01T06:38:20Z,2025-10-21T16:40:59Z
AMD EPYC 9754 128-Core Processor,1.0,0-511,2.0,128.0,2.0,512.0,2.0,256 MiB (256 instances),512 MiB (32 instances),not_available,19.0,11000.4,609.2,2655.4,21.5,-,-,-,-,-,7429.5,14893.3,2024-12-20T05:33:31Z,2025-02-18T04:07:44Z
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,0.0,0-31,2.0,16.0,1.0,64.0,2.0,1024K,22528K,,19.0,736.8,41.8,182.0,11.5,-,-,-,-,-,373.5,1027.0,2025-03-09T19:25:59Z,2025-10-03T08:22:25Z
AMD EPYC 7702 64-Core Processor,1.0,0-127,1.0,64.0,2.0,128.0,1.0,32 MiB (64 instances),256 MiB (16 instances),performance,19.0,1313.7,68.2,297.4,10.3,-,-,-,-,-,901.8,1923.8,2024-07-05T11:49:51Z,2025-10-16T07:10:02Z
AMD EPYC 7402 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,512K,16384K,conservative,19.0,1080.0,21.4,93.3,22.5,-,-,-,-,-,753.3,1170.1,2023-07-13T20:00:48Z,2024-05-25T12:44:54Z
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),performance,19.0,424.4,12.6,54.8,10.6,-,-,-,-,-,333.8,564.2,2024-08-07T00:15:43Z,2025-08-11T22:45:43Z
AMD EPYC 7F72 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),384 MiB (24 instances),performance,19.0,1703.5,68.0,296.4,17.7,-,-,-,-,-,1253.5,2300.2,2024-06-23T05:52:30Z,2024-09-18T07:26:36Z
AMD Opteron(tm) Processor 6376,0.0,0-63,4.0,16.0,1.0,64.0,8.0,64 MiB (32 instances),48 MiB (8 instances),performance,19.0,501.2,19.6,85.4,7.8,-,-,-,-,-,370.9,652.5,2025-10-14T14:16:06Z,2025-10-16T22:47:39Z
AMD EPYC 7452 32-Core Processor,0.0,0-63,2.0,32.0,1.0,64.0,2.0,512K,16384K,not_available,19.0,1455.3,21.3,93.0,22.7,-,-,-,-,-,1175.0,1548.4,2023-10-01T06:27:23Z,2024-03-02T06:27:07Z
Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),,20.0,564.1,22.7,101.7,14.1,-,-,-,-,-,468.0,874.0,2025-04-02T19:18:33Z,2025-10-28T09:59:55Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.0,0-79,2.0,20.0,2.0,80.0,2.0,1024K,28160K,performance,20.0,960.8,42.2,188.7,12.0,-,-,-,-,-,791.1,1532.2,2023-11-15T00:23:40Z,2024-04-27T07:51:37Z
AMD EPYC 7302 16-Core Processor,0.0,0-31,2.0,16.0,1.0,32.0,2.0,512K,16384K,performance,20.0,757.1,4.1,18.4,23.7,-,-,-,-,-,715.7,786.0,2023-08-12T04:59:26Z,2024-07-21T08:18:37Z
AMD EPYC 7532 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,2.0,32 MiB (64 instances),512 MiB (32 instances),performance,20.0,1798.6,88.4,395.2,14.1,-,-,-,-,-,911.9,2487.1,2025-04-07T16:27:09Z,2025-10-28T09:36:50Z
Intel(R) Xeon(R) Platinum 8480CL,0.0,0-111,2.0,56.0,1.0,112.0,4.0,224 MiB (112 instances),210 MiB (2 instances),ondemand,21.0,2711.4,65.0,297.7,24.2,-,-,810.0,66.7,3.5,2004.0,3162.3,2024-11-15T23:46:37Z,2025-07-28T00:11:56Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.0,0-79,2.0,20.0,2.0,80.0,4.0,1024K,28160K,powersave,21.0,874.1,18.8,86.0,10.9,-,-,-,-,-,761.5,1054.3,2023-08-10T13:22:33Z,2024-03-21T05:25:46Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.0,0-79,2.0,20.0,2.0,80.0,2.0,1024K,28160K,conservative,21.0,963.3,11.9,54.7,12.0,-,-,-,-,-,862.2,1056.9,2023-07-16T08:18:30Z,2024-03-08T23:43:56Z
Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),38.5 MiB (2 instances),not_available,22.0,716.5,40.7,190.9,14.9,-,-,-,-,-,547.5,1100.1,2024-11-15T22:45:59Z,2025-02-11T21:41:37Z
Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,4 MiB (16 instances),40 MiB (2 instances),schedutil,22.0,257.9,5.4,25.1,16.1,-,-,-,-,-,199.9,300.6,2025-06-03T13:27:15Z,2025-10-14T09:38:01Z
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,16 MiB (16 instances),22 MiB (2 instances),not_available,22.0,321.7,6.8,32.0,10.1,-,-,-,-,-,282.1,418.0,2024-07-22T09:05:41Z,2025-02-22T01:02:28Z
Intel(R) Xeon(R) CPU E5-2630 v2 @ 2.60GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,3 MiB (12 instances),30 MiB (2 instances),performance,22.0,205.7,5.1,24.1,8.6,-,-,-,-,-,165.9,255.8,2025-02-10T19:02:33Z,2025-09-24T22:54:41Z
Intel(R) Xeon(R) Platinum 8480CL,1.0,0-223,2.0,56.0,2.0,224.0,4.0,224 MiB (112 instances),210 MiB (2 instances),powersave,23.0,2188.3,161.6,775.2,9.8,-,-,788.4,217.9,2.9,1170.4,3370.8,2025-02-19T08:06:55Z,2025-07-06T09:08:17Z
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0.0,0-39,2.0,20.0,1.0,40.0,2.0,1024K,28160K,not_available,23.0,720.0,12.4,59.6,18.0,-,-,-,-,-,574.9,821.8,2023-09-21T14:01:57Z,2024-12-21T22:13:20Z
AMD EPYC 7313 16-Core Processor,1.0,0-31,1.0,16.0,2.0,32.0,1.0,512K,32768K,conservative,23.0,610.4,19.7,94.3,19.1,-,-,-,-,-,458.9,874.4,2024-03-03T11:09:31Z,2024-06-12T07:27:36Z
AMD EPYC 74F3 24-Core Processor,0.0,0-47,2.0,24.0,1.0,48.0,2.0,24 MiB (48 instances),512 MiB (16 instances),ondemand,23.0,1439.6,36.9,177.1,30.0,-,-,626.0,48.1,2.3,865.9,1563.2,2024-10-27T00:46:35Z,2025-10-28T04:14:02Z
Intel(R) Xeon(R) CPU E5-2650L v3 @ 1.80GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,256K,30720K,performance,23.0,404.3,18.4,88.3,8.4,-,-,-,-,-,308.5,667.7,2024-07-20T07:33:40Z,2025-10-17T10:39:03Z
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,powersave,23.0,292.1,1.8,8.5,14.6,-,-,-,-,-,275.0,307.1,2023-08-12T13:50:10Z,2024-07-07T06:58:07Z
Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,256K,30720K,performance,23.0,566.6,19.0,90.9,11.8,-,-,-,-,-,436.6,744.3,2023-10-26T14:27:22Z,2024-04-26T13:31:40Z
AMD EPYC 7413 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (8 instances),,24.0,1490.8,33.3,163.0,15.5,-,-,-,-,-,1204.4,1833.5,2025-04-11T09:56:53Z,2025-10-09T11:25:14Z
AMD EPYC 7702 64-Core Processor,1.0,0-127,1.0,64.0,2.0,128.0,1.0,512K,16384K,conservative,24.0,1299.5,40.4,197.9,10.2,-,-,-,-,-,909.5,1733.0,2023-07-12T21:09:33Z,2024-06-19T08:30:19Z
Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz,1.0,0-71,2.0,18.0,2.0,72.0,2.0,1024K,25344K,not_available,25.0,1041.8,47.5,237.6,14.5,-,-,-,-,-,830.6,1558.0,2023-08-12T08:01:45Z,2024-11-30T15:07:40Z
Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,1.0,0-79,2.0,20.0,2.0,80.0,2.0,40 MiB (40 instances),55 MiB (2 instances),,25.0,853.0,26.0,130.0,10.7,-,-,-,-,-,670.2,1144.6,2025-02-28T14:24:59Z,2025-07-25T09:11:15Z
Intel(R) Xeon(R) CPU E5-2618L v4 @ 2.20GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,5 MiB (20 instances),50 MiB (2 instances),performance,25.0,353.1,5.3,26.5,8.8,-,-,-,-,-,315.4,450.6,2024-11-12T17:25:48Z,2025-03-20T08:15:11Z
Intel(R) Xeon(R) Gold 5115 CPU @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,1024K,14080K,powersave,25.0,479.4,21.3,106.4,12.0,-,-,-,-,-,305.8,797.4,2023-08-03T21:12:50Z,2024-01-21T11:36:53Z
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,256K,25600K,performance,25.0,669.7,7.0,35.2,16.7,-,-,-,-,-,562.3,730.7,2023-09-09T11:40:53Z,2024-08-31T03:07:37Z
Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,2 MiB (8 instances),24 MiB (2 instances),performance,26.0,136.1,5.0,25.5,8.5,-,-,-,-,-,80.5,166.2,2024-08-14T00:05:23Z,2024-09-28T14:55:59Z
Intel(R) Xeon(R) CPU E5-2637 v4 @ 3.50GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,256K,15360K,performance,26.0,269.4,9.4,48.1,16.8,-,-,-,-,-,208.1,373.4,2023-11-01T00:11:30Z,2024-06-01T03:30:58Z
Intel(R) Xeon(R) CPU           E5630  @ 2.53GHz,1.0,0-15,2.0,4.0,2.0,16.0,2.0,256K,12288K,not_available,27.0,100.2,0.9,4.8,6.3,-,-,-,-,-,85.6,108.0,2023-07-17T08:47:19Z,2024-09-21T10:04:30Z
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,1024K,11264K,powersave,28.0,263.6,4.6,24.5,16.5,-,-,-,-,-,202.7,298.2,2023-09-21T17:25:58Z,2024-06-11T10:41:40Z
Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz,0.0,0-7,2.0,4.0,1.0,8.0,2.0,256K,8192K,conservative,28.0,92.3,0.5,2.8,11.5,-,-,-,-,-,84.6,98.0,2023-09-28T06:31:25Z,2024-06-16T18:00:25Z
AMD EPYC 9754 128-Core Processor,1.0,0-255,1.0,128.0,2.0,256.0,1.0,1024K,16384K,ondemand,29.0,6455.8,116.6,627.8,25.2,-,-,-,-,-,4577.4,7210.5,2023-11-24T14:40:10Z,2024-01-30T01:27:45Z
Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,256K,30720K,performance,29.0,426.6,4.9,26.2,17.8,-,-,-,-,-,335.9,473.7,2023-11-08T08:34:45Z,2024-07-22T04:09:09Z
Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,0.0,0-39,2.0,20.0,1.0,40.0,2.0,1024K,28160K,,29.0,706.2,12.6,67.8,17.7,-,-,-,-,-,560.6,855.2,2025-03-07T20:14:11Z,2025-10-16T12:13:40Z
AMD EPYC 9754 128-Core Processor,1.0,0-255,1.0,128.0,2.0,256.0,1.0,128 MiB (128 instances),256 MiB (16 instances),schedutil,29.0,3590.1,142.1,765.5,14.0,-,-,-,-,-,2025.1,6775.5,2025-10-02T12:50:44Z,2025-10-30T23:05:34Z
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,16 MiB (16 instances),22 MiB (2 instances),,30.0,310.4,6.5,35.8,9.7,-,-,-,-,-,252.8,424.0,2025-02-25T19:33:33Z,2025-10-26T22:06:21Z
AMD EPYC 7301 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,8.0,512K,8192K,not_available,30.0,587.8,7.6,41.7,9.2,-,-,-,-,-,516.0,695.6,2023-10-02T12:11:03Z,2023-12-31T16:19:37Z
AMD EPYC 7282 16-Core Processor,0.0,0-31,2.0,16.0,1.0,32.0,2.0,16 MiB (32 instances),128 MiB (8 instances),performance,30.0,701.4,7.1,39.2,21.9,-,-,-,-,-,605.8,758.6,2024-07-20T11:45:32Z,2025-07-31T13:41:39Z
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,5 MiB (20 instances),50 MiB (2 instances),ondemand,30.0,420.2,10.0,55.0,10.5,-,-,-,-,-,322.9,610.9,2024-09-20T13:25:56Z,2024-12-29T11:33:01Z
QEMU Virtual CPU version 2.5+,0.0,0-15,2.0,8.0,1.0,16.0,1.0,64 MiB (16 instances),32 MiB (2 instances),not_available,31.0,295.4,6.1,33.9,18.5,-,-,-,-,-,232.4,368.2,2024-07-23T19:19:28Z,2024-12-13T12:53:50Z
Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,0.0,0-27,2.0,14.0,1.0,28.0,2.0,256K,35840K,powersave,31.0,547.1,4.0,22.5,19.5,-,-,-,-,-,485.0,572.0,2024-05-04T20:09:51Z,2024-07-22T12:11:12Z
AMD EPYC 7451 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,8.0,24 MiB (48 instances),128 MiB (16 instances),performance,31.0,1233.0,37.9,210.9,12.8,-,-,-,-,-,936.6,1755.7,2024-06-17T08:33:08Z,2024-09-17T07:34:08Z
Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,1.0,0-95,2.0,24.0,2.0,96.0,2.0,1024K,36608K,not_available,32.0,1009.6,14.7,82.9,10.5,-,-,-,-,-,860.2,1216.1,2023-08-16T15:34:00Z,2024-05-02T19:20:54Z
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,256K,20480K,ondemand,32.0,248.4,2.6,14.9,15.5,-,-,-,-,-,218.8,278.9,2023-10-10T17:04:27Z,2024-06-27T02:53:33Z
Intel(R) Xeon(R) Gold 6242 CPU @ 2.80GHz,1.0,0-63,2.0,16.0,2.0,64.0,2.0,1024K,22528K,conservative,32.0,874.4,19.9,112.8,13.7,-,-,-,-,-,726.8,1278.2,2023-07-13T11:17:13Z,2024-03-06T00:56:11Z
Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),performance,32.0,472.8,19.1,107.9,9.9,-,-,-,-,-,157.0,700.8,2025-04-06T07:08:47Z,2025-10-23T20:40:01Z
AMD Opteron(tm) Processor 6320,1.0,0-15,2.0,4.0,2.0,16.0,4.0,2048K,6144K,conservative,32.0,140.4,2.9,16.3,8.8,-,-,-,-,-,111.5,170.4,2023-10-06T02:19:54Z,2024-09-06T05:41:49Z
Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,1.0,0-31,2.0,8.0,2.0,32.0,2.0,256K,20480K,conservative,32.0,293.8,6.4,36.0,9.2,-,-,-,-,-,232.8,401.2,2023-08-05T22:36:43Z,2024-05-16T22:31:13Z
Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,1024K,16896K,powersave,33.0,507.4,11.7,67.4,10.6,-,-,-,-,-,409.9,779.4,2023-07-14T16:32:33Z,2024-01-19T01:38:14Z
Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),38.5 MiB (2 instances),performance,33.0,647.2,22.5,129.2,13.5,-,-,-,-,-,511.3,1076.7,2024-10-25T17:48:24Z,2025-10-27T11:02:41Z
AMD EPYC 9534 64-Core Processor,1.0,0-255,2.0,64.0,2.0,256.0,2.0,128 MiB (128 instances),512 MiB (16 instances),performance,33.0,5660.8,156.2,897.4,22.1,-,-,-,-,-,4271.3,7675.0,2025-04-03T01:37:01Z,2025-10-24T00:52:10Z
AMD EPYC 74F3 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),512 MiB (16 instances),performance,33.0,1977.6,58.6,336.8,20.6,-,-,-,-,-,1458.9,2769.5,2024-06-22T21:52:57Z,2024-09-11T12:26:08Z
Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,5 MiB (20 instances),50 MiB (2 instances),performance,34.0,342.5,9.4,54.9,8.6,-,-,-,-,-,271.1,541.0,2024-12-21T19:52:54Z,2025-10-16T04:26:05Z
AMD EPYC 7551 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,8.0,32 MiB (64 instances),128 MiB (16 instances),performance,34.0,1176.7,37.1,216.4,9.2,-,-,-,-,-,849.5,1772.7,2025-03-23T11:19:25Z,2025-08-28T21:13:45Z
AMD EPYC 7713P 64-Core Processor,1.0,0-127,1.0,64.0,2.0,128.0,1.0,32 MiB (64 instances),256 MiB (8 instances),ondemand,35.0,2588.2,44.5,263.4,20.2,-,-,-,-,-,2200.6,3135.2,2025-07-14T11:25:05Z,2025-10-30T06:51:17Z
Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,3 MiB (12 instances),30 MiB (2 instances),performance,35.0,154.3,0.7,4.0,6.4,-,-,-,-,-,146.4,161.3,2024-09-13T16:46:26Z,2025-10-22T21:20:28Z
Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),38.5 MiB (2 instances),,35.0,734.1,30.6,181.0,15.3,-,-,-,-,-,515.2,1176.3,2025-02-22T14:24:46Z,2025-10-30T18:25:45Z
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,0.0,0-19,2.0,10.0,1.0,20.0,1.0,256K,25600K,performance,36.0,341.2,2.5,14.9,17.1,-,-,-,-,-,275.7,356.1,2023-07-17T05:00:23Z,2025-09-30T19:06:29Z
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,256K,25600K,powersave,36.0,348.6,3.4,20.3,17.4,-,-,-,-,-,309.5,381.7,2023-08-08T21:10:28Z,2024-07-02T15:01:58Z
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,32 MiB (32 instances),44 MiB (2 instances),performance,36.0,587.9,22.5,134.9,18.4,-,-,-,-,-,255.9,792.5,2023-12-29T22:39:05Z,2025-09-18T12:57:19Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,256K,12288K,conservative,36.0,239.0,6.6,39.6,10.0,-,-,-,-,-,176.6,325.4,2023-08-31T14:31:35Z,2024-07-03T01:37:27Z
Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,1.0,0-79,2.0,20.0,2.0,80.0,2.0,40 MiB (40 instances),55 MiB (2 instances),,36.0,882.4,25.0,150.1,11.0,-,-,-,-,-,745.6,1531.2,2025-03-21T03:03:22Z,2025-10-27T10:12:52Z
Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,256K,15360K,performance,38.0,134.5,3.5,21.3,5.6,-,-,-,-,-,117.1,233.2,2023-07-18T00:55:35Z,2024-10-10T10:03:22Z
Intel(R) Xeon(R) Gold 5115 CPU @ 2.40GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),,38.0,488.7,12.6,77.7,12.2,-,-,-,-,-,328.4,745.8,2025-02-23T04:08:04Z,2025-10-26T09:02:29Z
Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,24 MiB (24 instances),33 MiB (2 instances),,39.0,510.3,14.0,87.6,10.6,-,-,-,-,-,393.4,782.1,2025-03-15T21:04:00Z,2025-10-11T22:25:12Z
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,1024K,22528K,not_available,39.0,622.5,11.2,69.7,19.5,-,-,-,-,-,513.9,759.6,2023-10-02T19:46:03Z,2024-05-15T22:03:54Z
AMD EPYC 9754 128-Core Processor,1.0,0-255,1.0,128.0,2.0,256.0,4.0,128 MiB (128 instances),256 MiB (16 instances),,40.0,6017.1,101.1,639.4,23.5,-,-,-,-,-,4368.0,7055.6,2025-04-09T18:50:36Z,2025-07-20T15:12:17Z
AMD EPYC 9654 96-Core Processor,0.0,0-191,2.0,96.0,1.0,192.0,2.0,192 MiB (192 instances),768 MiB (24 instances),performance,40.0,6190.7,42.7,270.0,32.2,-,-,-,-,-,5702.0,6717.7,2025-10-15T11:32:49Z,2025-10-16T16:50:49Z
Intel(R) Xeon(R) Platinum 9242 CPU @ 2.30GHz,1.0,0-191,2.0,48.0,2.0,192.0,4.0,96 MiB (96 instances),143 MiB (4 instances),performance,40.0,2385.0,74.6,471.6,12.4,-,-,-,-,-,1734.7,3332.2,2024-08-07T11:11:13Z,2024-08-16T01:23:12Z
Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,20 MiB (20 instances),27.5 MiB (2 instances),not_available,40.0,413.4,10.1,63.9,10.3,-,-,-,-,-,299.9,619.0,2024-08-07T12:05:51Z,2025-02-21T00:43:28Z
AMD EPYC 7742 64-Core Processor,0.0,0-127,2.0,64.0,1.0,128.0,8.0,512K,16384K,performance,40.0,2154.0,65.6,415.1,16.8,-,-,-,-,-,1727.2,2937.0,2023-07-12T15:35:54Z,2023-09-21T17:54:43Z
AMD EPYC 7H12 64-Core Processor,0.0,0-63,1.0,64.0,1.0,64.0,1.0,512K,16384K,conservative,40.0,1318.7,13.4,84.5,20.6,-,-,-,-,-,1098.1,1467.0,2023-09-27T13:38:26Z,2024-06-18T09:42:41Z
AMD EPYC 9554 64-Core Processor,1.0,0-255,2.0,64.0,2.0,256.0,2.0,128 MiB (128 instances),512 MiB (16 instances),performance,42.0,6675.4,223.7,1449.6,26.1,-,-,-,-,-,3507.2,8599.1,2025-06-17T11:18:34Z,2025-10-27T23:30:15Z
AMD EPYC 7402 24-Core Processor,1.0,0-95,2.0,24.0,2.0,96.0,2.0,24 MiB (48 instances),256 MiB (16 instances),schedutil,42.0,1253.4,23.5,152.0,13.1,-,-,-,-,-,914.7,1478.5,2025-06-26T14:47:14Z,2025-10-30T05:30:58Z
AMD EPYC 7313 16-Core Processor,1.0,0-63,2.0,16.0,2.0,64.0,8.0,512K,32768K,not_available,44.0,1516.6,26.5,176.0,23.7,-,-,-,-,-,898.0,1849.5,2023-07-13T15:50:56Z,2024-07-22T05:44:46Z
Intel(R) Xeon(R) Platinum 8468,1.0,0-191,2.0,48.0,2.0,192.0,2.0,192 MiB (96 instances),210 MiB (2 instances),performance,44.0,2855.4,109.7,727.9,14.9,-,-,1193.8,-,6.0,2208.1,7209.8,2024-08-12T21:49:30Z,2025-09-23T17:25:14Z
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,0.0,0-31,2.0,16.0,1.0,32.0,2.0,1024K,22528K,,44.0,583.4,8.1,53.9,18.2,-,-,-,-,-,459.1,680.0,2025-02-24T15:36:24Z,2025-07-10T07:19:29Z
Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,1.0,0-63,2.0,16.0,2.0,64.0,2.0,8 MiB (32 instances),80 MiB (2 instances),performance,44.0,637.7,14.4,95.5,10.0,-,-,-,-,-,492.4,1044.6,2024-10-16T13:21:27Z,2025-10-26T11:04:56Z
Intel(R) Xeon(R) CPU E5-2650L v3 @ 1.80GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,256K,30720K,conservative performance,44.0,237.6,6.9,45.9,9.9,-,-,-,-,-,23.7,283.2,2025-02-25T15:13:59Z,2025-10-05T08:13:17Z
AMD EPYC 7551P 32-Core Processor,1.0,0-63,1.0,32.0,2.0,64.0,4.0,16 MiB (32 instances),64 MiB (8 instances),not_available,44.0,816.5,9.2,61.0,12.8,-,-,-,-,-,541.1,881.3,2024-07-05T17:26:19Z,2025-02-20T07:55:06Z
AMD EPYC 7452 32-Core Processor,1.0,0-127,2.0,32.0,2.0,128.0,2.0,512K,16384K,,44.0,1989.5,36.6,242.7,15.5,-,-,-,-,-,1323.1,2735.5,2025-02-22T20:32:45Z,2025-10-30T06:55:05Z
Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,1.0,0-55,2.0,14.0,2.0,56.0,2.0,1024K,19712K,performance,45.0,740.4,21.0,140.7,13.2,-,-,-,-,-,490.9,1113.6,2023-07-13T23:46:04Z,2025-04-22T00:41:06Z
Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,0.0,0-15,2.0,8.0,1.0,16.0,2.0,4 MiB (16 instances),40 MiB (2 instances),performance,45.0,187.7,2.5,16.5,11.7,-,-,-,-,-,93.4,211.9,2024-07-21T16:53:38Z,2025-10-27T16:27:29Z
Intel(R) Xeon(R) CPU E5-2650L v3 @ 1.80GHz,0.0,0-23,2.0,12.0,1.0,24.0,2.0,256K,30720K,"conservative
performance",46.0,235.5,3.9,26.5,9.8,-,-,-,-,-,162.1,278.9,2024-06-19T20:41:42Z,2025-02-19T23:06:21Z
Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,1.0,0-47,2.0,12.0,2.0,48.0,2.0,1024K,19712K,performance,47.0,695.9,14.8,101.6,14.5,-,-,-,-,-,539.2,915.8,2023-07-17T00:32:22Z,2024-09-09T01:50:54Z
AMD EPYC 7543 32-Core Processor,0.0,0-63,2.0,32.0,1.0,64.0,2.0,512K,32768K,performance,48.0,1575.3,10.0,69.2,24.6,-,-,-,-,-,1321.6,1696.8,2023-12-03T23:45:06Z,2024-07-18T23:44:14Z
Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,1.0,0-39,2.0,10.0,2.0,40.0,2.0,256K,25600K,powersave,48.0,329.3,8.5,58.7,8.2,-,-,-,-,-,256.2,499.1,2023-07-15T05:31:35Z,2024-11-26T12:58:53Z
